dataset,algorithm,corr_threshold,const_threshold,seed,line_number
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.2,89,77
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.2,356,78
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.2,27,79
dados_atuais_listagem_nominal-dv.csv,dt,0.85,0.2,489,80
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,145,81
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,278,82
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,392,83
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,49,84
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,203,85
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,411,86
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,89,87
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,356,88
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,27,89
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.05,489,90
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,145,91
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,278,92
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,392,93
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,49,94
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,203,95
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,411,96
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,89,97
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,356,98
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,27,99
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.1,489,100
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,145,101
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,278,102
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,392,103
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,49,104
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,203,105
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,411,106
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,89,107
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,356,108
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,27,109
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.15,489,110
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,145,111
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,278,112
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,392,113
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,49,114
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,203,115
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,411,116
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,89,117
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,356,118
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,27,119
dados_atuais_listagem_nominal-dv.csv,dt,0.9,0.2,489,120
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,145,121
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,278,122
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,392,123
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,49,124
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,203,125
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,411,126
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,89,127
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,356,128
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,27,129
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.05,489,130
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,145,131
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,278,132
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,392,133
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,49,134
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,203,135
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,411,136
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,89,137
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,356,138
dados_atuais_listagem_nominal-dv.csv,dt,0.95,0.1,27,139
